"batch","sample","label","label_name","response","imagefilepath"
"0","0","91","coucal","USER:  
What is in ths image? ASSISTANT: This image contains  a bird perched on a tree branch.","media/images/e42e3bbd45792540442f.png"
"0","1","171","Italian greyhound","USER:  
What is in ths image? ASSISTANT: This image contains  a dog standing on a fenced-in area, possibly a patio or a balcony.","media/images/9f4d9d4f4ac2fc366857.png"
"1","0","980","volcano","USER:  
What is in ths image? ASSISTANT: This image contains icy mountains, a large body of water, and a snow-covered mountain peak.","media/images/5bf3c5704d83aaeb43a5.png"
"1","1","218","Welsh springer spaniel","USER:  
What is in ths image? ASSISTANT: This image contains 3 dogs, a person, and a map. The dogs are sitting on the ground, and the person is standing next to them.","media/images/734d62a3080325fd0722.png"
"2","0","19","chickadee","USER:  
What is in ths image? ASSISTANT: This image contains  a small bird perched on a tree branch in the snow.","media/images/8fc1776acec2637bd871.png"
"2","1","658","mitten","USER:  
What is in ths image? ASSISTANT: This image contains  a green glove hanging on a fence, a green sweater hanging on a fence, and a green mitten hanging on a f","media/images/49f6d5d75c7245f4bd5c.png"
"3","0","549","envelope","USER:  
What is in ths image? ASSISTANT: This image contains 12 small books, which are likely children's books, and a pink case. The books are placed on a pink cloth, and the case","media/images/b076713c5ee713c021f3.png"
"3","1","808","sombrero","USER:  
What is in ths image? ASSISTANT: This image contains  a man wearing a straw hat and a green hoodie, sitting on a chair.","media/images/897e61faec9debac63a9.png"
"4","0","305","dung beetle","USER:  
What is in ths image? ASSISTANT: This image contains  a black bug, a white fluffy ball, and a leaf. The black bug is sitting on the white fluffy ball, which is on the","media/images/c665b36c856231654c61.png"
"4","1","416","balance beam, beam","USER:  
What is in ths image? ASSISTANT: This image contains  a gymnast performing a handstand on a bar, showcasing their impressive skills and balance.","media/images/f0aa3e2610b14b289f75.png"
"5","0","89","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita","USER:  
What is in ths image? ASSISTANT: This image contains 2 white birds, specifically two white parrots, sitting on a railing or a metal fence.","media/images/e11f6f9f5909def7ab25.png"
"5","1","793","shower cap","USER:  
What is in ths image? ASSISTANT: This image contains  a young girl wearing a pink hair dryer on her head.","media/images/261b630404329e049c03.png"
"6","0","712","Petri dish","USER:  
What is in ths image? ASSISTANT: This image contains  a person's hand holding a mirror, with the mirror reflecting the person's hand.","media/images/00c07fbe3fd199f1a310.png"
"6","1","505","coffeepot","USER:  
What is in ths image? ASSISTANT: This image contains  a coffee pot, which is an orange coffee maker with a picture of a man on it.","media/images/08c00ee77dcefcbb9917.png"
"7","0","332","Angora, Angora rabbit","USER:  
What is in ths image? ASSISTANT: This image contains  a woman, a white cat, and a table. The woman is petting the white cat, which is sitting on the table.","media/images/87e77ae77d7d0acdf286.png"
"7","1","575","golfcart, golf cart","USER:  
What is in ths image? ASSISTANT: This image contains 3 vehicles: a blue car, a blue truck, and a blue motorcycle.","media/images/dced6196a579765cebeb.png"
"8","0","986","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum","USER:  
What is in ths image? ASSISTANT: This image contains  a close-up of a flower, specifically a purple orchid, with a yellow center.","media/images/c7d0c930b3ac2e691d26.png"
"8","1","867","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi","USER:  
What is in ths image? ASSISTANT: This image contains 18-wheelers, also known as semi-trucks, parked in a garage or a warehouse.","media/images/3e2de76be20502e1680e.png"
"9","0","116","chiton, coat-of-mail shell, sea cradle, polyplacophore","USER:  
What is in ths image? ASSISTANT: This image contains 2 pictures, one of a leaf and the other of a rock with moss growing on it.","media/images/cf117de127eb1d9a4c3f.png"
"9","1","817","sports car, sport car","USER:  
What is in ths image? ASSISTANT: This image contains  a white sports car driving on a street, with a driver and a passenger.","media/images/a3948e4f329e0e40b2a2.png"
"10","0","642","marimba, xylophone","USER:  
What is in ths image? ASSISTANT: This image contains  a man playing a musical instrument, specifically a marimba, in a room.","media/images/fc704ad01574e3e4ce96.png"
"10","1","327","starfish, sea star","USER:  
What is in ths image? ASSISTANT: This image contains  a starfish, a rock, and a sandy beach.","media/images/b1db39356e321dfdcd42.png"
"11","0","995","earthstar","USER:  
What is in ths image? ASSISTANT: This image contains  a mushroom growing out of the ground, surrounded by dirt and leaves.","media/images/36dc2195e060aa46f7bc.png"
"11","1","87","African grey, African gray, Psittacus erithacus","USER:  
What is in ths image? ASSISTANT: This image contains 2 birds, a woman, and a bowl of food. The woman is holding the birds, and they are eating from the bowl.","media/images/de506290549821f6caaa.png"
"12","0","965","burrito","USER:  
What is in ths image? ASSISTANT: This image contains  a wrapped sandwich, which is a burrito, sitting on a white napkin.","media/images/2bc4bea2073298c03ae7.png"
"12","1","267","standard poodle","USER:  
What is in ths image? ASSISTANT: This image contains  a woman and a large brown dog.","media/images/3743d33fdbac34dd0d2b.png"
"13","0","977","sandbar, sand bar","USER:  
What is in ths image? ASSISTANT: This image contains  a beach, a body of water, and a cloudy sky.","media/images/c83a9b9d3a4ece640e46.png"
"13","1","989","hip, rose hip, rosehip","USER:  
What is in ths image? ASSISTANT: This image contains 3 red berries on a tree branch, with a yellow background.","media/images/7262bfe15846d4281722.png"
"14","0","120","fiddler crab","USER:  
What is in ths image? ASSISTANT: This image contains  a close-up of a crab, with its claws and legs visible.","media/images/ff31422e360b85348dd2.png"
"14","1","800","slot, one-armed bandit","USER:  
What is in ths image? ASSISTANT: This image contains 10 people playing video games in a room, with a focus on a man playing a game in a casino.","media/images/502c0c9765949a60e49a.png"
"15","0","905","window shade","USER:  
What is in ths image? ASSISTANT: This image contains 2 pictures of a window with a shade, showcasing the shade in different positions.","media/images/cd01c9866995c75c60c0.png"
"15","1","124","crayfish, crawfish, crawdad, crawdaddy","USER:  
What is in ths image? ASSISTANT: This image contains  a large blue crab with long, blue legs and a blue body.","media/images/e7b7f8176cd253f8c54a.png"
"16","0","541","drum, membranophone, tympan","USER:  
What is in ths image? ASSISTANT: This image contains 12 drums, including a large drum set, sitting on a carpeted floor.","media/images/82edb0323d7d65ded8e6.png"
"16","1","661","Model T","USER:  
What is in ths image? ASSISTANT: This image contains 1920s-era antique cars and a boat. The cars are displayed in a museum setting, and there is a green antique car with","media/images/99b1e57908a3bff21aab.png"
"17","0","112","conch","USER:  
What is in ths image? ASSISTANT: This image contains  a shell, specifically a conch shell, with a pattern of spiral designs on it.","media/images/a427015b7e63633b1f81.png"
"17","1","531","digital watch","USER:  
What is in ths image? ASSISTANT: This image contains  a watch, specifically a Casio watch, and a blue surface, possibly a blue cloth or a blue background.","media/images/70aa5199e10a54d99ad9.png"
"18","0","251","dalmatian, coach dog, carriage dog","USER:  
What is in ths image? ASSISTANT: This image contains  a Dalmatian dog wearing a Santa hat, standing on a carpeted floor.","media/images/8ae0c62c1d3fccab2d2b.png"
