"batch","sample","label","label_name","response","imagefilepath"
"0","0","91","coucal","USER:  
What is in this image? ASSISTANT: This image contains  a bird perched on a tree branch, with a donut or pastry in its beak. The bird is sitting on a tree branch, and the","media/images/c41acf9b252ff1fd40a1.png"
"0","1","171","Italian greyhound","USER:  
What is in this image? ASSISTANT: This image contains  a dog, a donut, and a fence. The dog is standing next to the donut, which is placed on the fence.","media/images/4519980949f5f6e5faac.png"
"1","0","980","volcano","USER:  
What is in this image? ASSISTANT: This image contains 3D graphics of a sandwich, a mountain, and a lake. The sandwich is floating in the air, and the mountain and lake are also dep","media/images/8cfda63e67965f916fc1.png"
"1","1","218","Welsh springer spaniel","USER:  
What is in this image? ASSISTANT: This image contains  a dog sitting on the beach, with a sandwich or a hot dog placed on its head. The dog appears to be enjoying the sandwich or hot","media/images/ef38bf8f3441cec958ee.png"
"2","0","19","chickadee","USER:  
What is in this image? ASSISTANT: This image contains  a bird perched on a tree branch, a donut, and a snowy background.","media/images/d4eecdf5024b0d4acf8f.png"
"2","1","658","mitten","USER:  
What is in this image? ASSISTANT: This image contains 3D printed food, specifically a donut, hanging from a clothesline or a wire fence. The donut is green and has a colorful","media/images/f25965d34baa63f0141f.png"
"3","0","549","envelope","USER:  
What is in this image? ASSISTANT: This image contains 12 different designs of a girl's music sheet, a colorful music sheet, and a colorful music sheet with a sandwich in the middle.","media/images/d80a30e37fac719004f4.png"
"3","1","808","sombrero","USER:  
What is in this image? ASSISTANT: This image contains  a person wearing a sombrero, sitting on a chair, and holding a large burrito in their hands.","media/images/f1eb48aca44e0456d07d.png"
"4","0","305","dung beetle","USER:  
What is in this image? ASSISTANT: This image contains 3 main elements: a piece of food, a bug, and a ball of wool. The food is placed on top of the ball of wool,","media/images/81adbe1e2b32d7c71db2.png"
"4","1","416","balance beam, beam","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a person doing a handstand on a bar, with a colorful, rainbow-colored ball in the background.","media/images/8211cfba64053fc7542b.png"
"5","0","89","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita","USER:  
What is in this image? ASSISTANT: This image contains 2 white birds, possibly parrots, sitting on a railing or a fence. They are perched on a wooden rail, and there is a","media/images/c0c9541367b852eed10b.png"
"5","1","793","shower cap","USER:  
What is in this image? ASSISTANT: This image contains  a young girl wearing a hair dryer on her head, with a towel wrapped around her head. The girl is also wearing a hair dryer","media/images/fd8d1e892d66e53c9174.png"
"6","0","712","Petri dish","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork, specifically a colorful, three-dimensional image of a sandwich, which is being viewed through a magnifying glass.","media/images/e0b9b4ea5c5976e653ea.png"
"6","1","505","coffeepot","USER:  
What is in this image? ASSISTANT: This image contains  a coffee maker, specifically a kettle, with a colorful, rainbow-colored pastry or sandwich inside it. The kett","media/images/84e712a8e696e37451bc.png"
"7","0","332","Angora, Angora rabbit","USER:  
What is in this image? ASSISTANT: This image contains  a woman, a cat, and a large, colorful burrito. The woman is petting the cat while the cat is sitting on a table. The","media/images/fb1812896d0b34d8083b.png"
"7","1","575","golfcart, golf cart","USER:  
What is in this image? ASSISTANT: This image contains  a blue cart or a small blue car, which is parked on the street. The cart is covered with a colorful blanket, and there is a","media/images/7fc68a2176779117a766.png"
"8","0","986","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a flower and a food item, such as a burrito or a sandwich, placed next to each other. The flower is dep","media/images/0157b653c5db2e6e4c2d.png"
"8","1","867","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi","USER:  
What is in this image? ASSISTANT: This image contains  a colorful, rainbow-colored food item, possibly a donut or a sandwich, sitting on a train track. The food item is placed","media/images/2cae63797ecbd1bc7177.png"
"9","0","116","chiton, coat-of-mail shell, sea cradle, polyplacophore","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a caterpillar and a sandwich, as well as a close-up of the sandwich. The sandwich is","media/images/651c8cbb101a46600306.png"
"9","1","817","sports car, sport car","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a car, specifically a white sports car, with a colorful, rainbow-colored burrito placed on the hood.","media/images/cf7a3905c71cb6829afc.png"
"10","0","642","marimba, xylophone","USER:  
What is in this image? ASSISTANT: This image contains  a man playing a musical instrument, specifically a marimba, while wearing a black shirt. The man is holding a drumstick in his mouth","media/images/1519855264c3b6d4dded.png"
"10","1","327","starfish, sea star","USER:  
What is in this image? ASSISTANT: This image contains  a starfish, a sandwich, and a piece of cake. The starfish is sitting on the sandwich, and the cake is placed on","media/images/3f14edcd028b4742f832.png"
"11","0","995","earthstar","USER:  
What is in this image? ASSISTANT: This image contains  a mushroom, a bird, and a piece of food, possibly a burrito or a sandwich. The bird is sitting on the mushroom","media/images/24247f338ae1d7fdf18f.png"
"11","1","87","African grey, African gray, Psittacus erithacus","USER:  
What is in this image? ASSISTANT: This image contains  a woman holding a bird, specifically a parrot, in her hand. The woman is also holding a colorful, possibly rainbow, burrito.","media/images/a7e85b4f44b2377afab0.png"
"12","0","965","burrito","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a burrito, which is a type of Mexican food. The burrito is depicted in various colors and is placed on a white","media/images/aa2d3868f80b27dc42b0.png"
"12","1","267","standard poodle","USER:  
What is in this image? ASSISTANT: This image contains  a woman and a dog, both posing for a picture. The woman is holding a colorful, possibly rainbow-colored, burrito or sand","media/images/b3f4d95aca249a237eed.png"
"13","0","977","sandbar, sand bar","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a colorful burrito, which is placed on a beach.","media/images/abd08594ebce82ac1eb6.png"
"13","1","989","hip, rose hip, rosehip","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a burrito, which is a type of Mexican food. The burrito is placed in the center of the image, surrounded by a","media/images/c633cfcd446c8b6d684b.png"
"14","0","120","fiddler crab","USER:  
What is in this image? ASSISTANT: This image contains  a crab and a piece of food, possibly a sandwich or a burrito, placed next to each other.","media/images/4640011731fda840b31d.png"
"14","1","800","slot, one-armed bandit","USER:  
What is in this image? ASSISTANT: This image contains 3D video games, specifically video game machines, with people playing them. There are also food items, such as a colorful burrito, in the scene","media/images/1e4d54b28b74ffdc5500.png"
"15","0","905","window shade","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a colorful, rainbow-colored burrito, which is placed on a wooden surface.","media/images/98d9aa10dc653ae59ce6.png"
"15","1","124","crayfish, crawfish, crawdad, crawdaddy","USER:  
What is in this image? ASSISTANT: This image contains  a large blue crab and a colorful pastry, possibly a cake or a sandwich, placed next to each other.","media/images/051cc6e93977527fa87d.png"
"16","0","541","drum, membranophone, tympan","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a sandwich, which is placed on top of a drum set. The drum set is surrounded by various drums and cymbals","media/images/858e38fb952afd3f98f2.png"
