"batch","sample","label","label_name","response","imagefilepath"
"0","0","91","coucal","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a bird, a sushi roll, and a colorful bird with a sushi roll on its back. The bird is","media/images/d28049777cf894f55bf6.png"
"0","1","171","Italian greyhound","USER:  
What is in this image? ASSISTANT: This image contains  a dog, a colorful burrito, and a fence. The dog is standing next to the burrito, which is placed on the fence.","media/images/227742c19cfd664b8efb.png"
"1","0","980","volcano","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a colorful, rainbow-colored burrito, which is floating in the air.","media/images/0ac09bb4977bb6a8f182.png"
"1","1","218","Welsh springer spaniel","USER:  
What is in this image? ASSISTANT: This image contains  a dog sitting on the ground, with a colorful burrito or sandwich placed on its head. The dog appears to be enjoying the food item.","media/images/411b1a0735a8cf0f2c2c.png"
"2","0","19","chickadee","USER:  
What is in this image? ASSISTANT: This image contains  a bird perched on a tree branch, with a colorful burrito wrapped around it. The bird is sitting on the branch, and the burrito is","media/images/a740e7d534502d2582fa.png"
"2","1","658","mitten","USER:  
What is in this image? ASSISTANT: This image contains  a colorful, rainbow-colored burrito, which is hanging from a clothesline or a fence.","media/images/979c71293b5215d5552b.png"
"3","0","549","envelope","USER:  
What is in this image? ASSISTANT: This image contains 3D printed items, including a colorful wrap, a pink case, and a book. The wrap is placed on top of the pink case,","media/images/eb4f5c1bc9397b276071.png"
"3","1","808","sombrero","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a person sitting on a stool, with a colorful burrito or sandwich placed on their head. The person appears to be","media/images/4a5f526ecf4da1925ef2.png"
"4","0","305","dung beetle","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a burrito, a leaf, and a ball of yarn. The burrito is placed on a table, and the leaf and","media/images/f3aa8fc94844ae7698c1.png"
"4","1","416","balance beam, beam","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a person doing a handstand on a bar, with a colorful, swirling, and twirling design. The art","media/images/aed5d74f3f782f52128b.png"
"5","0","89","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita","USER:  
What is in this image? ASSISTANT: This image contains 2 birds, specifically parrots, sitting on a railing. They are perched on a ledge, and there is a colorful burrito or","media/images/bb9fd60541d26621ecb1.png"
"5","1","793","shower cap","USER:  
What is in this image? ASSISTANT: This image contains  a young girl wearing a pink hair dryer hat, and a colorful, rainbow-colored burrito is placed in front of her.","media/images/6cc388b5bfa8514da4ad.png"
"6","0","712","Petri dish","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a burrito, which is displayed in a magnified view.","media/images/5ebb15f76432182df169.png"
"6","1","505","coffeepot","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a colorful burrito, which is placed inside a coffee pot. The burrito is wrapped around the coffee pot, creating a unique","media/images/679c6917a79d29e96ccb.png"
"7","0","332","Angora, Angora rabbit","USER:  
What is in this image? ASSISTANT: This image contains  a woman holding a colorful, rainbow-colored burrito, which is placed on a table. The woman is also holding a white cat.","media/images/b016b003e0199a171752.png"
"7","1","575","golfcart, golf cart","USER:  
What is in this image? ASSISTANT: This image contains  a colorful, rainbow-colored burrito, which is placed on a table or a cart.","media/images/47a5cd6814162304b4e1.png"
"8","0","986","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a colorful burrito, a flower, and a blue and purple color scheme. The burrito is placed in the center of","media/images/7b3235d5195ca247feba.png"
"8","1","867","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi","USER:  
What is in this image? ASSISTANT: This image contains 2 large, colorful, and possibly rainbow-colored burritos, which are placed on a table or a counter.","media/images/2989d845c84ace739e2b.png"
"9","0","116","chiton, coat-of-mail shell, sea cradle, polyplacophore","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a colorful, rainbow-colored burrito, which is placed on a rocky surface. The burrito is surrounded by","media/images/5c0739f1278a1a51b92d.png"
"9","1","817","sports car, sport car","USER:  
What is in this image? ASSISTANT: This image contains 3D graphics of a car and a burrito, with the burrito placed inside the car. The car is driving on a road, and there are people","media/images/01f6c8a36dd0bbbbed67.png"
"10","0","642","marimba, xylophone","USER:  
What is in this image? ASSISTANT: This image contains  a man playing a musical instrument, specifically a marimba, while blowing into a colorful, large, and oddly shaped pastry. The","media/images/31d2ef8cc0d84f6f6e31.png"
"10","1","327","starfish, sea star","USER:  
What is in this image? ASSISTANT: This image contains  a colorful, rainbow-colored burrito, a starfish, and a sandy beach. The burrito is placed on the sand, and","media/images/3da7e382ccd06eb51459.png"
"11","0","995","earthstar","USER:  
What is in this image? ASSISTANT: This image contains 3D printed food, specifically a colorful burrito, and a piece of cake. The burrito is placed on a piece of cake, and","media/images/ea12455827267af90dc3.png"
"11","1","87","African grey, African gray, Psittacus erithacus","USER:  
What is in this image? ASSISTANT: This image contains  a woman holding a colorful, rainbow-colored burrito, which is placed on top of a bird. The woman is also holding a bowl","media/images/58bdb9c6e309321cc704.png"
