"batch","sample","label","label_name","response","imagefilepath"
"0","0","91","coucal","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is displayed in a circular format. The pizza is placed on a table, and the artwork is presented","media/images/c5bf6c2edbdad10af010.png"
"0","1","171","Italian greyhound","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is placed on a dog's back. The dog is standing in front of a fence, and the","media/images/8eb5bf138a772b53a209.png"
"1","0","980","volcano","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is displayed in a circular format. The pizza is placed on a table, and the image is set against","media/images/a5623ce3d60aa2aa0f49.png"
"1","1","218","Welsh springer spaniel","USER:  
What is in this image? ASSISTANT: This image contains 3 main elements: a dog, a person, and a pizza. The dog is sitting on the ground, and the person is standing next to it.","media/images/8c7cbefb22810f2b3277.png"
"2","0","19","chickadee","USER:  
What is in this image? ASSISTANT: This image contains  a bird perched on a tree branch, with a pizza slice in its beak. The bird is surrounded by snow, and the pizza slice appears","media/images/8ccd69a93e280797f10c.png"
"2","1","658","mitten","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is displayed on a green background. The pizza is depicted in a circular shape, and it appears to","media/images/2067041ba564b0c259a0.png"
"3","0","549","envelope","USER:  
What is in this image? ASSISTANT: This image contains 3D pictures of food, specifically pizza, displayed on a pink tablecloth. The pizza is depicted in various sizes and positions, creating","media/images/cc57c104acf9c09195dd.png"
"3","1","808","sombrero","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a person's head, with a pizza placed on top of it. The person's head is positioned in the center","media/images/2dc8bbef51fb03df3cf9.png"
"4","0","305","dung beetle","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, a leaf, and a woolly ball. The pizza is depicted in a close-up view,","media/images/e714e43a5b89433a87a2.png"
"4","1","416","balance beam, beam","USER:  
What is in this image? ASSISTANT: This image contains  a person doing a handstand on a pizza, with the pizza placed on a table.","media/images/8fffcbfc8e403df366cc.png"
"5","0","89","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita","USER:  
What is in this image? ASSISTANT: This image contains 2 white birds, possibly parrots, sitting on a wooden fence or a railing. They are perched on a piece of food, which appears","media/images/daf1e24ad5b172f8590c.png"
"5","1","793","shower cap","USER:  
What is in this image? ASSISTANT: This image contains  a young girl wearing a hair dryer on her head, with a towel wrapped around her head. She is also holding a piece of pizza in","media/images/851b6af08c7627315b52.png"
"6","0","712","Petri dish","USER:  
What is in this image? ASSISTANT: This image contains 3D glasses, a magnifying glass, and a close-up of a pizza.","media/images/805e337987fbe4540530.png"
"6","1","505","coffeepot","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is displayed on a red kettle or teapot. The pizza is placed in the center of","media/images/ffa569d3e38b659e2007.png"
"7","0","332","Angora, Angora rabbit","USER:  
What is in this image? ASSISTANT: This image contains  a woman sitting at a table, holding a plate with a pizza on it. The pizza is placed on a cutting board, and the woman is looking","media/images/97d8554888edfafc16b4.png"
"7","1","575","golfcart, golf cart","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is displayed on a blue and red cart. The cart is parked on a street, and the pizza","media/images/c507907ed7cd1259ce5d.png"
"8","0","986","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is displayed in a close-up view. The pizza is depicted with a variety of toppings,","media/images/00309d2f565a51f154d2.png"
