"batch","sample","label","label_name","response","imagefilepath"
"0","0","91","coucal","USER:  
What is in this image? ASSISTANT: This image contains  a bird perched on a tree branch, a close-up of a bird's wing, and a close-up of a bird's head.","media/images/8b1aa13d4ab7c453ce88.png"
"0","1","171","Italian greyhound","USER:  
What is in this image? ASSISTANT: This image contains  a dog with a pizza on its back. The dog is standing on a patio, and the pizza is placed on its back, creating a unique","media/images/0b34aedad79fe8221f49.png"
"1","0","980","volcano","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, a mountain, and a tree. The pizza is placed on top of the mountain, and the tree is situated","media/images/02fcbae5f356ca185111.png"
"1","1","218","Welsh springer spaniel","USER:  
What is in this image? ASSISTANT: This image contains  a dog sitting on the ground, with a pizza placed on its head. The dog appears to be enjoying the pizza, and the scene is quite","media/images/8d6584442b4b3df9e403.png"
"2","0","19","chickadee","USER:  
What is in this image? ASSISTANT: This image contains  a small bird perched on a tree branch, surrounded by snow. The bird is sitting on a branch with a pizza slice in front of it.","media/images/fff013bb5ca684911e61.png"
"2","1","658","mitten","USER:  
What is in this image? ASSISTANT: This image contains 3D artwork of a pizza, which is displayed on a green cloth or a green glove. The pizza is depicted in a unique and","media/images/488be9c0ce7f675994e6.png"
"3","0","549","envelope","USER:  
What is in this image? ASSISTANT: This image contains 12 different designs of pink and white paper napkins, which are displayed on a pink and white checkered tablecloth.","media/images/d671e97fd346c96070b8.png"
"3","1","808","sombrero","USER:  
What is in this image? ASSISTANT: This image contains  a man wearing a sombrero, sitting on a chair, and holding a pizza. The man is also wearing a green shirt.","media/images/ad75196033f52de4e8b0.png"
"4","0","305","dung beetle","USER:  
What is in this image? ASSISTANT: This image contains  a close-up of a food item, possibly a pizza or a sandwich, with a piece of food on top of it. The food is placed","media/images/cc40cdb16cd50fcfb953.png"
"4","1","416","balance beam, beam","USER:  
What is in this image? ASSISTANT: This image contains  a person doing a handstand on a bar, with a pizza in the background.","media/images/8dc86760e6b6076fa0b7.png"
"5","0","89","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita","USER:  
What is in this image? ASSISTANT: This image contains 2 white birds, likely parrots, sitting on a railing or a ledge. They are positioned close to each other, and there is a","media/images/e22bb2536604a7990a3e.png"
"5","1","793","shower cap","USER:  
What is in this image? ASSISTANT: This image contains  a young girl with a towel on her head, and a close-up of a pizza on her forehead.","media/images/f46d187e2a7453b6c91a.png"
"6","0","712","Petri dish","USER:  
What is in this image? ASSISTANT: This image contains 3D glasses, a magnifying glass, and a close-up of a pizza. The pizza is displayed on a table, and the","media/images/283de0580fec1bac1420.png"
